Comparison of mean ADC of PMT 1 before and after resistors installed.
	Run 1994	Run 1999
Pixel	Mean	Sigma	Mean	Sigma
1   	445.78	158.7 	360.7	176.3
2   	446.15 	169.37	544.8	179.8
3   	374.03 	89.552	381.3	96.4
4   	481.11 	176.25	539.5	142.8
5   	709.39 	168.61	567.6	137.07
6   	652.66 	169.50	558.2	124.9
7   	786.72 	219.76	559.8	103.98
8   	756.18 	154.85	551.9	129.98
10   	846.42 	259.49	560.14	125.5
11   	1085.5 	248.5	553.4	126.1
12   	735.24 	142.41	558.95	141.68
14   	825.88	287.04	546.6	148.07
15   	928.44 	212.66	541.47	113.24
16   	691.38 	205.99	543.5	147.4
